"Grand List Year","Fiscal Year End June 30","Town Code","Service District Code","Municipality/District","Mill Rate","Mill Rate - Real & Personal Property","Mill Rate - Motor Vehicle","Flat Rate Fee / Other Rate"
"2015","2017","34","0","Danbury","28.68",,,
"2015","2017","35","0","Darien","15.77",,,
"2012","2014","19","0","Brooklyn","23.19",,,
"2012","2014","20","0","Burlington","27.5",,,
"2012","2014","21","0","Canaan","21.5",,,
"2012","2014","1","0","Andover","30.77",,,
"2012","2014","2","0","Ansonia","39.34",,,
"2012","2014","3","0","Ashford","31.65",,,
"2012","2014","4","0","Avon","26.32",,,
"2012","2014","5","0","Barkhamsted","24.26",,,
"2012","2014","5","1","Barkhamsted - Fire District","1.43",,,
"2012","2014","5","1","Barkhamsted + Barkhamsted - Fire District","25.69",,,
"2012","2014","6","0","Beacon Falls","31.9",,,
"2012","2014","7","0","Berlin","28.77",,,
"2012","2014","7","1","Berlin - Kensington Fire District","1.1",,,
"2012","2014","7","2","Berlin - Worthington Fire District","2.1",,,
"2012","2014","8","0","Bethany","29.6",,,
"2012","2014","9","0","Bethel","31.5",,,
"2012","2014","10","0","Bethlehem","20.5",,,
"2012","2014","11","0","Bloomfield","34.85",,,
"2012","2014","11","1","Bloomfield - Center Fire District","0.9",,,
"2012","2014","11","2","Bloomfield - Blue Hill Fire District","2.5",,,
"2012","2014","12","0","Bolton","30.96",,,
"2012","2014","13","0","Bozrah","26.25",,,
"2012","2014","14","0","Branford","25.59",,,
"2012","2014","15","0","Bridgeport","41.855",,,
"2012","2014","16","0","Bridgewater","17.5",,,
"2012","2014","17","0","Bristol","33.5",,,
"2012","2014","18","0","Brookfield","25.4",,,
"2012","2014","22","0","Canterbury","21.7",,,
"2012","2014","23","0","Canton","26.91",,,
"2012","2014","24","0","Chaplin","30.15",,,
"2012","2014","25","0","Cheshire","27.6",,,
"2012","2014","26","0","Chester","21.95",,,
"2012","2014","27","0","Clinton","25.43",,,
"2012","2014","28","0","Colchester","30.28",,,
"2012","2014","29","0","Colebrook","27.1",,,
"2012","2014","30","0","Columbia","27.13",,,
"2012","2014","31","0","Cornwall","14.5",,,
"2012","2014","32","0","Coventry","27.97",,,
"2012","2014","33","0","Cromwell","30.75",,,
"2012","2014","33","1","Cromwell - Fire District","2.1",,,
"2012","2014","33","1","Cromwell + Cromwell - Fire District","32.85",,,
"2012","2014","34","0","Danbury","26.8",,,
"2012","2014","35","0","Darien","13.17",,,
"2012","2014","36","0","Deep River","25.08",,,
"2012","2014","37","0","Derby","35.34",,,
"2012","2014","38","0","Durham","32.66",,,
"2012","2014","39","0","Eastford","21.5",,,
"2012","2014","40","0","East Granby","28.2",,,
"2012","2014","41","0","East Haddam","26.01",,,
"2012","2014","42","0","East Hampton","26.63",,,
"2012","2014","43","0","East Hartford","43.9",,,
"2012","2014","44","0","East Haven","30.95",,,
"2012","2014","45","0","East Lyme","23.349",,,
"2012","2014","46","0","Easton","29.3",,,
"2012","2014","47","0","East Windsor","29.7791",,,
"2012","2014","48","0","Ellington","28.4",,,
"2012","2014","49","0","Enfield","29.26",,,
"2012","2014","49","1","Enfield - Fire District #1","3.15",,,
"2012","2014","49","2","Enfield - Thompsonville Fire Dist. #2","6.45",,,
"2012","2014","49","3","Enfield - Hazardville Fire Dist.#3","2.1",,,
"2012","2014","49","4","Enfield - No. Thompsonville Fire Dist. #4","3.05",,,
"2012","2014","49","5","Enfield - Shaker Pines Fire Dist #5","2.3",,,
"2012","2014","50","0","Essex","18.99",,,
"2012","2014","51","0","Fairfield","23.93",,,
"2012","2014","52","0","Farmington","24.07",,,
"2012","2014","53","0","Franklin","21.54",,,
"2012","2014","54","0","Glastonbury","35.1",,,
"2012","2014","55","0","Goshen","19.2",,,
"2012","2014","56","0","Granby","34.83",,,
"2012","2014","57","0","Greenwich","10.675",,,
"2012","2014","57","1","Greenwich - Sewer","0.636",,,
"2012","2014","57","1","Greenwich + Greenwich - Sewer","11.311",,,
"2012","2014","58","0","Griswold","26.03",,,
"2012","2014","59","0","Groton","20.72",,,
"2012","2014","59","1","Groton - City of Groton","4.595",,,
"2012","2014","59","2","Groton - Poquonock Bridge Fire Dist.","5.2",,,
"2012","2014","59","3","Groton - Mystic Fire Dist.","2.16",,,
"2012","2014","59","4","Groton - Noank Fire Dist.","1.39",,,
"2012","2014","59","5","Groton - Old Mystic Fire Dist.","2.8",,,
"2012","2014","59","6","Groton - Long Point Assoc.","2.928",,,
"2012","2014","59","7","Groton - Center Fire Dist.","3.5",,,
"2012","2014","59","8","Groton - West Pleasant Valley Fire Dist.","2.8",,,
"2012","2014","59","9","Groton - Mumford Cove","0.305",,,
"2012","2014","59","10","Groton - Sewer District","0.25",,,
"2012","2014","60","0","Guilford","23.06",,,
"2012","2014","61","0","Haddam","29.48",,,
"2012","2014","62","0","Hamden","38.9405",,,
"2012","2014","63","0","Hampton","24.8",,,
"2012","2014","64","0","Hartford","74.29",,,
"2012","2014","65","0","Hartland","24.5",,,
"2012","2014","66","0","Harwinton","24.6",,,
"2012","2014","67","0","Hebron","34.7",,,
"2012","2014","68","0","Kent","14.45",,,
"2012","2014","69","0","Killingly","20.7",,,
"2012","2014","69","1","Killingly - Attawaugan Fire District","2.4",,,
"2012","2014","69","2","Killingly - Dayville Fire District","1.5",,,
"2012","2014","69","3","Killingly - Dyer Manor","0.45",,,
"2012","2014","69","4","Killingly - East Killiingly Fire District","1.27",,,
"2012","2014","69","5","Killingly - So. Killingly Fire District","1",,,
"2012","2014","69","6","Killingly - Orient Heights Fire Dist. # 5","0.55",,,
"2012","2014","69","7","Killingly -  Williamsville","1.98",,,
"2012","2014","70","0","Killingworth","24.53",,,
"2012","2014","71","0","Lebanon","23.9",,,
"2012","2014","72","0","Ledyard","28.2",,,
"2012","2014","73","0","Lisbon","19.4",,,
"2012","2014","74","0","Litchfield","22.6",,,
"2012","2014","75","0","Lyme","14",,,
"2012","2014","76","0","Madison","20.39",,,
"2012","2014","77","0","Manchester (Town)","37.44",,,
"2012","2014","77","1","Manchester Special","5.69",,,
"2012","2014","77","1","Manchester + Special","43.13",,,
"2012","2014","77","2","Manchester 8th Fire + Sewer","3.8",,,
"2012","2014","77","3","Manchester 8th - Buckland Section Fire","1.9",,,
"2012","2014","77","4","Manchester Eighth District Base","33.03",,,
"2012","2014","78","0","Mansfield","27.95",,,
"2012","2014","79","0","Marlborough","30.76",,,
"2012","2014","80","0","Meriden","34.99",,,
"2012","2014","80","1","Meriden Second","2.1",,,
"2012","2014","80","1","Meriden + Meriden Second","37.09",,,
"2012","2014","81","0","Middlebury","28.86",,,
"2012","2014","82","0","Middlefield","33.24",,,
"2012","2014","83","0","Middletown","27.7",,,
"2012","2014","83","1","Middletown - City Fire","6.1",,,
"2012","2014","83","1","Middletown + Middletown - City Fire","33.8",,,
"2012","2014","83","2","Middletown - South Fire","3.648",,,
"2012","2014","83","3","Middletown - Westfield Fire","1.26",,,
"2012","2014","84","0","Milford","26.28",,,
"2012","2014","85","0","Monroe","30.41",,,
"2012","2014","86","0","Montville","29.06",,,
"2012","2014","87","0","Morris","21.65",,,
"2012","2014","87","0","Morris - Deer Island Assoc.","2.79",,,
"2012","2014","88","0","Naugatuck","44.8",,,
"2012","2014","89","0","New Britain","44.12",,,
"2012","2014","89","1","New Britain + Downtown","4.2",,,
"2012","2014","90","0","New Canaan","14.586",,,
"2012","2014","90","1","New Canaan - Sewer","0.633",,,
"2012","2014","90","1","New Canaan + New Canaan - Sewer","15.219",,,
"2012","2014","91","0","New Fairfield","25.64",,,
"2012","2014","92","0","New Hartford","24.95",,,
"2012","2014","92","1","New Hartford - Village Fire District #1","1",,,
"2012","2014","92","3","New Hartford - Pine Meadow Fire Dist. #3","1.75",,,
"2012","2014","92","4","New Hartford - South End Fire District #4","0.55",,,
"2012","2014","93","0","New Haven","40.8",,,
"2012","2014","93","1","New Haven Town Green (FKA Downtown)","1.88",,,
"2012","2014","93","2","New Haven Chapel West (CWSS)","2.5",,,
"2012","2014","93","3","New Haven Whalley Ave. (WASF)",,,,
"2012","2014","93","4","New Haven Whalley Ave. (WASS)","1.75",,,
"2012","2014","93","5","New Haven Grand Ave (GAVA)","1.25",,,
"2012","2014","94","0","Newington","33.63",,,
"2012","2014","95","0","New London","27.5",,,
"2012","2014","95","1","New London - City Center District","1.17",,,
"2012","2014","95","1","New London + City Center District","28.67",,,
"2012","2014","96","0","New Milford","25.85",,,
"2012","2014","96","1","New Milford - Fire District","0.72",,,
"2012","2014","97","0","Newtown","33.32",,,
"2012","2014","98","0","Norfolk","20.22",,,
"2012","2014","99","0","North Branford","29.1",,,
"2012","2014","100","0","North Canaan","25.5",,,
"2012","2014","100","1","North Canaan - Fire District","1.85",,,
"2012","2014","100","2","North Canaan + Fire District","27.35",,,
"2012","2014","101","0","North Haven","28.1",,,
"2012","2014","102","0","North Stonington","25.6",,,
"2012","2014","103","1","Norwalk 1st  - Downtown","22.142",,,
"2012","2014","103","2","Norwalk 2nd  - South","22.142",,,
"2012","2014","103","3","Norwalk 3rd  - East","22.142",,,
"2012","2014","103","4","Norwalk 4th  - Sewered Main Area","22.187",,,
"2012","2014","103","5","Norwalk 5th - No Garbage Main Area","21.682",,,
"2012","2014","103","6","Norwalk 6th - Rowayton","20.157",,,
"2012","2014","103","7","Norwalk 7th","20.157",,,
"2012","2014","103","8","Norwalk 8th","22.142",,,
"2012","2014","103","9","Norwalk 9th","22.142",,,
"2012","2014","103","10","Norwalk - Motor Vehicle Rate","27.365",,,
"2012","2014","103","1","Norwalk 1st - No Garbage","21.636",,,
"2012","2014","103","2","Norwalk 2nd - No Garbage","21.636",,,
"2012","2014","103","3","Norwalk 3rd - No Garbage","21.636",,,
"2012","2014","103","4","Norwalk 4th - No Garbage","21.681",,,
"2012","2014","103","8","Norwalk 8th - No Garbage","21.636",,,
"2012","2014","103","9","Norwalk 9th - No Garbage","21.636",,,
"2012","2014","104","0","Norwich, City of","27.23",,,
"2012","2014","104","1","Norwich, City of (Paid Fire)","32.27",,,
"2012","2014","104","2","Norwich, City of (Vol Fire)","27.59",,,
"2012","2014","105","0","Old Lyme","19.3",,,
"2012","2014","106","0","Old Saybrook","15.2",,,
"2012","2014","107","0","Orange","30.5",,,
"2012","2014","108","0","Oxford","24.75",,,
"2012","2014","109","0","Plainfield","28.36",,,
"2012","2014","109","1","Plainfield - Fire District # 255","1.45",,,
"2012","2014","109","2","Plainfield - Moosup Fire District","1.8",,,
"2012","2014","109","3","Plainfield - Central Village Fire Distr.","2.875",,,
"2012","2014","109","4","Plainfield - Wauregan Fire District","2.3",,,
"2012","2014","110","0","Plainville","31.38",,,
"2012","2014","111","0","Plymouth","35.45",,,
"2012","2014","112","0","Pomfret","23.79",,,
"2012","2014","112","1","Pomfret - Fire District","1",,,
"2012","2014","112","1","Pomfret + Fire District","24.79",,,
"2012","2014","113","0","Portland","31.28",,,
"2012","2014","114","0","Preston","23.7",,,
"2012","2014","115","0","Prospect","28.08",,,
"2012","2014","116","0","Putnam","15.07",,,
"2012","2014","116","1","Putnam - Special Service District","7.4",,,
"2012","2014","116","1","Putnam + Special Service District","22.47",,,
"2012","2014","116","2","Putnam - West Putnam District","1",,,
"2012","2014","116","3","Putnam - East Putnam District","1.5",,,
"2012","2014","117","0","Redding","28.95",,,
"2012","2014","118","0","Ridgefield","25.38",,,
"2012","2014","119","0","Rocky Hill","26.6",,,
"2012","2014","120","0","Roxbury","13.3",,,
"2012","2014","121","0","Salem","30.1",,,
"2012","2014","122","0","Salisbury","10.4",,,
"2012","2014","123","0","Scotland","30.36",,,
"2012","2014","124","0","Seymour","33.23",,,
"2012","2014","125","0","Sharon","11.7",,,
"2012","2014","126","0","Shelton","22.31",,,
"2012","2014","127","0","Sherman","16.845",,,
"2012","2014","128","0","Simsbury","37.29",,,
"2012","2014","128","1","Simsbury - Fire District","1.22",,,
"2012","2014","128","1","Simsbury + Fire District","38.51",,,
"2012","2014","129","0","Somers","23.37",,,
"2012","2014","130","0","Southbury","26.4",,,
"2012","2014","131","0","Southington","27.46",,,
"2012","2014","132","0","South Windsor","34.9",,,
"2012","2014","133","0","Sprague","30",,,
"2012","2014","134","0","Stafford","33.06",,,
"2012","2014","134","1","Stafford - Special Service District","2.2",,,
"2012","2014","135","0","Stamford - Motor Vehicles","27.25",,,
"2012","2014","135","1","Stamford - ""A""","24.04",,,
"2012","2014","135","2","Stamford - ""B""","23.55",,,
"2012","2014","135","3","Stamford - ""C""","22.67",,,
"2012","2014","135","4","Stamford - ""CS""","23.1",,,
"2012","2014","135","5","Stamford - Personal Prop. Other than MV","24.04",,,
"2012","2014","136","0","Sterling","31.5",,,
"2012","2014","136","1","Sterling - Fire District","1.71",,,
"2012","2014","136","1","Sterling + Fire District","33.21",,,
"2012","2014","137","0","Stonington","19.88",,,
"2012","2014","137","1","Stonington - Pawcatuck Fire District #264","1.56",,,
"2012","2014","137","2","Stonington, Borough of #372","2.5",,,
"2012","2014","137","3","Stonington - Fire District #265","0.7",,,
"2012","2014","137","4","Stonington - Mystic Fire District #239","1.84",,,
"2012","2014","137","5","Stonington - Wequetequock Fire District #379","0.75",,,
"2012","2014","137","6","Stonington - Quiambaug Fire District #378","1.8",,,
"2012","2014","137","7","Stonington - Old Mystic Fire District #366","2.8",,,
"2012","2014","137","8","Stonington - Lords Point Fire District","1.997",,,
"2012","2014","137","9","Stonington - Mason's Island","1.63",,,
"2012","2014","137","9","Stonington - Wamphassuc Point","0.427",,,
"2012","2014","137","10","Stonington - Latimer Point",,,,
"2012","2014","138","0","Stratford","34.64",,,
"2012","2014","139","0","Suffield","25.16",,,
"2012","2014","140","0","Thomaston","33.13",,,
"2012","2014","141","0","Thompson","22.42",,,
"2012","2014","142","0","Tolland","30.19",,,
"2012","2014","143","0","Torrington","34.46",,,
"2012","2014","144","0","Trumbull","31.286",,,
"2012","2014","144","1","Trumbull - Long Hill Fire District","0.6",,,
"2012","2014","144","2","Trumbull - Center Fire District","0.82",,,
"2012","2014","144","3","Trumbull - Nichols Fire District","1.05",,,
"2012","2014","145","0","Union","24.37",,,
"2012","2014","146","0","Vernon","35.4",,,
"2012","2014","147","0","Voluntown","24.25",,,
"2012","2014","148","0","Wallingford","26.22",,,
"2012","2014","149","0","Warren","13.9",,,
"2012","2014","150","0","Washington","11.75",,,
"2012","2014","151","0","Waterbury","56.98",,,
"2012","2014","152","0","Waterford","24.05",,,
"2012","2014","153","0","Watertown","25.09",,,
"2012","2014","154","0","Westbrook","20.98",,,
"2012","2014","155","0","West Hartford","36.3",,,
"2012","2014","156","0","West Haven","31.25",,,
"2012","2014","156","1","West Haven - First Center","8.65",,,
"2012","2014","156","0","West Haven -  West Shore (2d)","8.63",,,
"2012","2014","156","0","West Haven - Allingtown (Third)","8.38",,,
"2012","2014","157","0","Weston","23.89",,,
"2012","2014","158","0","Westport","18.07",,,
"2012","2014","159","0","Wethersfield","33.46",,,
"2012","2014","160","0","Willington","24.38",,,
"2012","2014","161","0","Wilton","25.9896",,,
"2012","2014","162","0","Winchester","31.2",,,
"2012","2014","163","0","Windham","29.06",,,
"2012","2014","163","1","Windham - Special Service Dist. #2","39.29",,,
"2012","2014","163","2","Windham - 1st Taxing District","30.62",,,
"2012","2014","164","0","Windsor","27.33",,,
"2012","2014","164","1","Windsor - Wilson Fire District","2.8",,,
"2012","2014","164","2","Windsor - Windsor Fire District","1.5",,,
"2012","2014","165","0","Windsor Locks","24.54",,,
"2012","2014","166","0","Wolcott","25.91",,,
"2012","2014","167","0","Woodbridge","34.14",,,
"2012","2014","168","0","Woodbury","23.4",,,
"2012","2014","169","0","Woodstock","22.28",,,
"2012","2014","601","0","Borough of Bantam (Litchfield)","1.5",,,
"2012","2014","603","0","Borough of Danielson (Killingly)","3.3",,,
"2015","2017","8","0","Bethany","35.5",,,
"2012","2014","604","0","Borough of Fenwick (Old Saybrook)",,,,
"2012","2014","606","0","Borough of Jewett City (Griswold)","3.99",,,
"2012","2014","607","0","Borough of Litchfield","1.19",,,
"2012","2014","608","0","Borough of Newtown","0.89",,,
"2012","2014","610","0","Borough of Stonington","2.5",,,
"2012","2014","611","0","Borough of Woodmont (Milford)",,,,
"2013","2015","1","0","Andover","30.72",,,
"2013","2015","2","0","Ansonia","38.61",,,
"2013","2015","3","0","Ashford","32.16",,,
"2013","2015","4","0","Avon","28.32",,,
"2013","2015","5","0","Barkhamsted","27.37",,,
"2013","2015","5","1","Barkhamsted Fire District","1.63",,,
"2013","2015","6","0","Beacon Falls","32.5",,,
"2013","2015","7","0","Berlin","28.92",,,
"2013","2015","7","1","Berlin - Kensington FD","1.1",,,
"2013","2015","7","2","Berlin -Worthington FD","2",,,
"2013","2015","8","0","Bethany","33.9",,,
"2013","2015","9","0","Bethel","32.11",,,
"2013","2015","10","0","Bethlehem","22.47",,,
"2013","2015","11","0","Bloomfield","34.84",,,
"2013","2015","11","1","Bloomfield, Center FD","0.9",,,
"2013","2015","11","2","Bloomfield, Blue Hills FD","2.5",,,
"2013","2015","12","0","Bolton","35.34",,,
"2013","2015","13","0","Bozrah","26.75",,,
"2013","2015","14","0","Branford","26.24",,,
"2013","2015","15","0","Bridgeport","42.198",,,
"2013","2015","16","0","Bridgewater","17.25",,,
"2013","2015","17","0","Bristol","34.61",,,
"2013","2015","18","0","Brookfield","25.7",,,
"2013","2015","19","0","Brooklyn","23.43",,,
"2013","2015","20","0","Burlington","29.85",,,
"2013","2015","21","0","Canaan","22.75",,,
"2013","2015","22","0","Canterbury","21.5",,,
"2013","2015","23","0","Canton","28.56",,,
"2013","2015","24","0","Chaplin","35.05",,,
"2013","2015","25","0","Cheshire","30.25",,,
"2013","2015","26","0","Chester","24.82",,,
"2013","2015","27","0","Clinton","26.27",,,
"2013","2015","28","0","Colchester","30.57",,,
"2013","2015","29","0","Colebrook","27.8",,,
"2013","2015","30","0","Columbia","27.13",,,
"2013","2015","31","0","Cornwall","14.9",,,
"2013","2015","32","0","Coventry","28.47",,,
"2013","2015","33","0","Cromwell","31.18",,,
"2013","2015","33","1","Cromwell Fire District","2.1",,,
"2013","2015","34","0","Danbury","27.6",,,
"2013","2015","35","0","Darien","15.01",,,
"2013","2015","36","0","Deep River","25.88",,,
"2013","2015","37","0","Derby","35.74",,,
"2013","2015","38","0","Durham","33.22",,,
"2013","2015","39","0","Eastford","24.8",,,
"2013","2015","40","0","East Granby","29.8",,,
"2013","2015","41","0","East Haddam","27.9",,,
"2013","2015","42","0","East Hampton","27.14",,,
"2013","2015","43","0","East Hartford","45.4",,,
"2013","2015","44","0","East Haven","32.05",,,
"2013","2015","45","0","East Lyme","24.03",,,
"2013","2015","46","0","Easton","29.9",,,
"2013","2015","47","0","East Windsor","29.78",,,
"2013","2015","48","0","Ellington","28.7",,,
"2013","2015","49","0","Enfield","29.13",,,
"2013","2015","49","1","Enfield Fire District #1","3.25",,,
"2013","2015","49","2","Enfield Thompsonville FD #2","7.25",,,
"2013","2015","49","3","Enfield, Hazardville Fire Dist.#3","2.4",,,
"2013","2015","49","4","Enfield, No. Thompsonville Fire Dist. #4","3.15",,,
"2013","2015","49","5","Enfield Shaker Pines Fire Dist #5","2.3",,,
"2013","2015","50","0","Essex","20.99",,,
"2013","2015","51","0","Fairfield","24.4",,,
"2013","2015","52","0","Farmington","24.44",,,
"2013","2015","53","0","Franklin","24.72",,,
"2013","2015","54","0","Glastonbury","35.65",,,
"2013","2015","55","0","Goshen","19.2",,,
"2013","2015","55","0","Goshen - Woodridge Lake Sewer District","4.3",,,
"2013","2015","56","0","Granby","35.52",,,
"2013","2015","57","0","Greenwich","10.969",,,
"2013","2015","57","1","Greenwich - Sewer District","0.655",,,
"2013","2015","58","0","Griswold","26.08",,,
"2013","2015","59","0","Groton","20.13",,,
"2013","2015","59","1","Groton Sewer District","0.25",,,
"2013","2015","59","2","Groton, City of Groton","4.822",,,
"2013","2015","59","3","Groton, Poquonock Bridge Fire","5.9",,,
"2013","2015","59","4","Groton, Mystic Fire","2.31",,,
"2013","2015","59","5","Groton, Noank Fire","1.39",,,
"2013","2015","59","6","Groton, Old Mystic Fire","2.8",,,
"2013","2015","59","8","Groton - Center Fire","3.5",,,
"2013","2015","59","9","Groton, W. Pleasant Valley Fire","3.4",,,
"2013","2015","59","10","Groton, Mumford Cove","0.305",,,
"2013","2015","59","13","Groton, Long Point Assoc.","2.795",,,
"2013","2015","60","0","Guilford","27.42",,,
"2013","2015","61","0","Haddam","30.39",,,
"2013","2015","62","0","Hamden","39.93",,,
"2013","2015","63","0","Hampton","29.73",,,
"2013","2015","64","0","Hartford","74.29",,,
"2013","2015","65","0","Hartland","24.5",,,
"2013","2015","66","0","Harwinton","26.9",,,
"2013","2015","67","0","Hebron","35.75",,,
"2013","2015","68","0","Kent","17.03",,,
"2013","2015","69","0","Killingly","26.51",,,
"2013","2015","69","1","Killingly Attawaugan FD","3.1",,,
"2013","2015","69","2","Killingly Dayville FD","2",,,
"2013","2015","69","3","Killingly Dyer Manor","0.5",,,
"2013","2015","69","4","Killingly E. Killiingly FD","2.104",,,
"2013","2015","69","5","Killingly So. Killingly FD","1.4",,,
"2013","2015","69","6","Killingly District 5 Orient Heights","0.7",,,
"2013","2015","69","7","Killingly Williamsville FD","2.45",,,
"2013","2015","70","0","Killingworth","24.53",,,
"2013","2015","71","0","Lebanon","28.2",,,
"2013","2015","72","0","Ledyard","29.9",,,
"2013","2015","73","0","Lisbon","19.5",,,
"2013","2015","74","0","Litchfield","25.2",,,
"2013","2015","75","0","Lyme","17",,,
"2013","2015","76","0","Madison","25.17",,,
"2013","2015","77","3","Manchester 8th Buckland Section Fire","2",,,
"2013","2015","77","1","Manchester - Special","44.44",,,
"2013","2015","77","2","Manchester 8th Fire + Sewer","4",,,
"2013","2015","77","4","Manchester Eighth District Base","34",,,
"2013","2015","77","0","Manchester (Town)","38.65",,,
"2013","2015","78","0","Mansfield","27.95",,,
"2013","2015","79","0","Marlborough","31.45",,,
"2013","2015","80","1","Meriden Second","2.09",,,
"2013","2015","80","0","Meriden","35.74",,,
"2013","2015","81","0","Middlebury","29.34",,,
"2013","2015","82","0","Middlefield","33.92",,,
"2013","2015","83","2","Middletown, South Fire","4.331",,,
"2013","2015","83","3","Middletown, Westfield Fire","1.326",,,
"2013","2015","83","4","Middletown, City Fire","7.3",,,
"2013","2015","83","0","Middletown","32.7",,,
"2013","2015","84","0","Milford","27.22",,,
"2013","2015","85","0","Monroe","31.01",,,
"2013","2015","86","0","Montville","29.37",,,
"2013","2015","87","0","Morris","22.38",,,
"2013","2015","87",,"Morris - Deer Island Assoc.","2.77",,,
"2013","2015","88","0","Naugatuck",,,,
"2013","2015","89","0","New Britain","49",,,
"2013","2015","89","1","New Britain - Downtown",,,,
"2013","2015","90","0","New Canaan","15.542",,,
"2013","2015","90","1","New Canaan Sewer","0.561",,,
"2013","2015","91","0","New Fairfield","26.08",,,
"2013","2015","92","0","New Hartford","27.68",,,
"2013","2015","92","1","New Hartford Village FD #1","1",,,
"2013","2015","92","3","New Hartford Pine Meadow #3","2",,,
"2013","2015","92","4","New Hartford South End FD #4","0.6",,,
"2013","2015","93","0","New Haven","41.55",,,
"2013","2015","93","1","New Haven+Town Green (FKA Downtown)","1.99",,,
"2013","2015","93","2","New Haven + Chapel West","2.5",,,
"2013","2015","93","3","New Haven + Whalley Ave. WASF",,,,
"2013","2015","93","4","New Haven + Whalley Ave. WASS","1.799",,,
"2015","2017","61","0","Haddam","31.2",,,
"2013","2015","93","5","New Haven + Grand Ave GAVA","1.25",,,
"2013","2015","94","0","Newington","34.77",,,
"2013","2015","95","0","New London","38",,,
"2013","2015","95","1","New London - City Center District","1.46",,,
"2013","2015","96","0","New Milford","26.3",,,
"2013","2015","96","1","New Milford Fire Association",,,,
"2013","2015","97","0","Newtown","33.31",,,
"2013","2015","98","0","Norfolk","22.41",,,
"2013","2015","99","0","North Branford","29.92",,,
"2013","2015","100","0","North Canaan","27.5",,,
"2013","2015","100","2","North Canaan Fire District","2.1",,,
"2013","2015","101","0","North Haven","28.1",,,
"2013","2015","102","0","North Stonington","25.85",,,
"2013","2015","103","1","Norwalk 1st  - Downtown","25.041",,,
"2013","2015","103","2","Norwalk 2nd  - South","25.041",,,
"2013","2015","103","3","Norwalk 3rd  - East","25.041",,,
"2013","2015","103","4","Norwalk 4th  - Sewered Main Area","25.1",,,
"2013","2015","103","5","Norwalk 5th - No Garbage Main Area","24.328",,,
"2013","2015","103","6","Norwalk 6th - Rowayton","22.425",,,
"2013","2015","103","10","Norwalk Motor Vehicle Rate","28.241",,,
"2013","2015","103","1","Norwalk 1st No Garbage","24.269",,,
"2013","2015","103","2","Norwalk 2nd No Garbage","24.269",,,
"2013","2015","103","3","Norwalk 3rd No Garbage","24.269",,,
"2013","2015","103","4","Norwalk 4th No Garbage","24.328",,,
"2014","2016","27","0","Clinton","26.77",,,
"2013","2015","104","0","Norwich City (Vol Fire)(Town)(TCD)","39.04",,,
"2013","2015","104","1","Norwich, City of  (Paid Fire) (CCD)","45.93",,,
"2013","2015","104","2","Norwich","38.55",,,
"2013","2015","105","0","Old Lyme","19.66",,,
"2013","2015","106","0","Old Saybrook","18.5",,,
"2013","2015","107","0","Orange","30.8",,,
"2013","2015","108","0","Oxford","24.87",,,
"2013","2015","109","0","Plainfield","28.36",,,
"2013","2015","109","1","Plainfield FD # 255","1.45",,,
"2013","2015","109","2","Plainfield Moosup FD","1.8",,,
"2013","2015","109","3","Plainfield Central Village F.D.","2.875",,,
"2013","2015","109","4","Plainfield Wauregan F.D.","2.3",,,
"2013","2015","110","0","Plainville","31.38",,,
"2013","2015","111","0","Plymouth","34.85",,,
"2013","2015","112","0","Pomfret","24.13",,,
"2013","2015","112","2","Pomfret Fire District","1",,,
"2013","2015","113","0","Portland","31.78",,,
"2013","2015","114","0","Preston","23.14",,,
"2013","2015","115","0","Prospect","28.98",,,
"2013","2015","116","0","Putnam","15.07",,,
"2013","2015","116","1","Putnam - Special Service District","8.4",,,
"2013","2015","116","2","Putnam West Putnam District","1",,,
"2013","2015","116","3","Putnam East Putnam District","1.5",,,
"2013","2015","117","0","Redding","28.91",,,
"2013","2015","117","1","Redding Fire District One","0.76983",,,
"2013","2015","117","2","Redding Fire District Two","0.9063",,,
"2013","2015","117",,"Redding Georgetown FD","1.2806",,,
"2013","2015","118","0","Ridgefield","26.01",,,
"2013","2015","119","0","Rocky Hill","29.7",,,
"2013","2015","120","0","Roxbury","13.4",,,
"2013","2015","121","0","Salem","31.1",,,
"2013","2015","122","0","Salisbury","10.5",,,
"2013","2015","123","0","Scotland","35",,,
"2013","2015","124","0","Seymour","34.04",,,
"2013","2015","125","0","Sharon","13.25",,,
"2013","2015","126","0","Shelton","22.31",,,
"2013","2015","127","0","Sherman","19.84",,,
"2013","2015","128","0","Simsbury","37.14",,,
"2013","2015","128","1","Simsbury - Fire District","1.19",,,
"2013","2015","129","0","Somers","23.37",,,
"2013","2015","130","0","Southbury","27.6",,,
"2013","2015","131","0","Southington","28.36",,,
"2013","2015","132","0","South Windsor","35.51",,,
"2013","2015","133","0","Sprague","31",,,
"2013","2015","134","0","Stafford","33.03",,,
"2013","2015","134","1","Stafford, Special Service District","2.22",,,
"2013","2015","135","0","Stamford Motor Vehicles","27.25",,,
"2013","2015","135","1","Stamford ""A""","24.79",,,
"2013","2015","135","2","Stamford ""B""","24.24",,,
"2013","2015","135","3","Stamford ""C""","23.31",,,
"2013","2015","135","4","Stamford ""CS""","23.79",,,
"2013","2015","135","5","Stamford Pprop Other than MV","24.79",,,
"2013","2015","136","0","Sterling","31.5",,,
"2013","2015","136","1","Sterling, Fire District","1.7",,,
"2013","2015","137","0","Stonington","20.43",,,
"2013","2015","137","1","Stonington Mystic FD #239","1.82",,,
