row_index,sale_year,sale_month,sale_day,sale_quarter,list_year,town_encoded,house_number,has_unit,zipcode,longitude,latitude,year_built,stories,total_bedrms,total_bthrms,living_area_sqft,style_encoded,fiscal_year_end_june30,mortgage30us,cpi_cuur0100sa0,unemployment_rate,housing_supply_actliscouct,mill_rate,gdp_real_estate,home_age_at_sale,living_area_sqft_log1p,sale_amount_log1p
452,2016,8,1,3.0,2015.0,12,71.0,0,6010.0,-72.9178466,41.6733418,1986.0,2.0,4.0,2.0,1498.0,30.0,2017.0,3.48,255.545,4.9,23522.0,36.03,34944.3,30.0,7.312553498102598,11.982935344196433
453,2006,11,1,4.0,2006.0,68,30.0,0,6053.0,-72.7716068,41.6962015,1927.0,2.0,4.0,4.0,3503.0,129.0,2007.0,6.4,214.8,4.1,,,30914.5,79.0,8.161660452056282,12.505810504075184
454,2015,9,25,3.0,2014.0,17,210.0,0,6019.0,-72.9201358,41.8915188,1999.0,2.0,4.0,2.0,2688.0,30.0,2016.0,3.86,252.922,5.2,,29.19,35570.5,16.0,7.896924656268864,12.574185427296197
455,2020,1,15,1.0,2019.0,39,109.0,0,6073.0,-72.5349059,41.6608986,1985.0,2.0,4.0,2.0,2632.0,44.0,2020.0,3.64,272.316,4.3,11738.0,,37034.6,35.0,7.87587915949631,13.321215875492411
456,2020,6,10,2.0,2019.0,46,96.0,0,6518.0,-72.9009922,41.405211,1953.0,1.5,3.0,2.0,2353.0,24.0,2020.0,3.18,272.283,11.4,10225.0,,37034.6,67.0,7.763871287820222,11.982935344196433
457,2015,9,3,3.0,2014.0,11,435.0,0,6606.0,-73.219003,41.2107371,1956.0,1.25,3.0,2.0,1265.0,24.0,2016.0,3.89,252.922,5.2,,42.198,35570.5,59.0,7.143617602704121,12.07254696717504
458,2013,4,19,2.0,2012.0,39,55.0,0,6033.0,-72.5832987,41.6885647,1969.0,2.0,4.0,2.0,2485.0,30.0,2013.0,3.41,248.464,7.7,,,37039.7,44.0,7.818430272070656,13.021439671201302
459,2017,4,7,2.0,2016.0,37,81.0,0,6890.0,-73.2828886,41.1354589,1834.0,2.0,3.0,3.0,2615.0,71.0,2017.0,4.1,259.165,4.3,17558.0,25.45,35485.1,183.0,7.86940171257709,14.148405690083225
460,2009,11,13,4.0,2009.0,68,65.0,0,6051.0,-72.7596358,41.6761028,1955.0,1.0,2.0,1.0,768.0,101.0,2010.0,4.91,231.708,8.4,,,37588.0,54.0,6.645090969505644,11.373674891823535
461,2012,11,30,4.0,2012.0,10,53.0,0,6405.0,-72.8253148,41.2824006,2004.0,2.0,3.0,2.0,2520.0,30.0,2013.0,3.32,247.097,7.8,,,39197.7,8.0,7.83241092718792,12.765691290604371
462,2007,11,16,4.0,2007.0,37,136.0,0,6824.0,-73.2466413,41.1722746,1948.0,1.5,3.0,2.0,1317.0,23.0,2008.0,6.24,223.356,4.4,,,29520.5,59.0,7.183870715062453,12.93096313376517
463,2019,10,8,4.0,2019.0,90,145.0,0,6896.0,-73.4310131,41.2977426,1930.0,2.0,5.0,4.0,3797.0,30.0,2020.0,3.65,270.348,3.3,17057.0,,37215.4,89.0,8.242229891372231,12.791080452981856
464,2020,2,5,1.0,2019.0,11,365.0,0,6606.0,-73.2211183,41.2225475,1957.0,1.25,3.0,1.0,1216.0,24.0,2020.0,3.51,273.08,4.2,11584.0,,37034.6,63.0,7.104144092987527,12.323860125621126
465,2011,1,10,1.0,2010.0,12,115.0,0,6010.0,-72.9479225,41.6641876,1900.0,1.5,3.0,2.0,1354.0,46.0,2011.0,4.77,235.969,10.1,,,40127.2,111.0,7.2115567333138015,10.819798284210286
466,2016,11,15,4.0,2016.0,41,3.0,0,6035.0,-72.785984,41.9996863,1985.0,1.5,3.0,2.0,2186.0,24.0,2017.0,3.57,256.541,3.9,20373.0,36.94,34944.3,31.0,7.690286020676768,12.676079399771028
467,2014,2,21,1.0,2013.0,39,89.0,0,6033.0,-72.5945807,41.6823903,1951.0,1.5,3.0,2.0,1561.0,23.0,2014.0,4.33,251.233,7.7,,35.1,35902.5,63.0,7.353722330399631,12.621491384816093
468,2011,11,23,4.0,2011.0,46,91.0,0,6514.0,-72.9340694,41.3531687,1928.0,2.0,3.0,1.0,1344.0,94.0,2012.0,3.98,242.652,8.0,,,40127.2,83.0,7.20414929203594,11.669937760751914
469,2009,9,2,3.0,2008.0,37,73.0,0,6825.0,-73.2353951,41.2040541,1949.0,2.0,4.0,2.0,3214.0,30.0,2010.0,5.14,231.2,8.5,,,37588.0,60.0,8.07558263667172,13.527829818844936
470,2017,7,12,3.0,2016.0,20,75.0,0,6413.0,-72.5122012,41.2922852,1958.0,1.0,3.0,2.0,1500.0,101.0,2018.0,3.96,258.833,4.7,20162.0,29.91,35485.1,59.0,7.313886831633462,12.271396795480596
471,2020,4,1,2.0,2019.0,12,241.0,0,6010.0,-72.9012863,41.6617729,1980.0,2.0,3.0,2.0,1700.0,30.0,2020.0,3.5,271.325,7.8,11264.0,,37034.6,40.0,7.438971592395862,12.149507585033072
472,2017,9,14,3.0,2016.0,80,66.0,0,6360.0,-72.0731845,41.5343615,1979.0,1.0,3.0,2.0,1742.0,120.0,2018.0,3.78,260.875,4.0,19680.0,,35485.1,38.0,7.463363045520021,11.39640288460621
473,2020,5,28,2.0,2019.0,20,5.0,0,6413.0,-72.5340967,41.2835388,1967.0,1.0,2.0,1.0,900.0,101.0,2020.0,3.15,271.345,12.1,10818.0,,37034.6,53.0,6.803505257608338,12.323860125621126
474,2015,9,4,3.0,2014.0,73,30.0,0,6320.0,-72.0990587,41.3655053,1953.0,1.0,2.0,1.0,832.0,101.0,2016.0,3.89,252.922,5.2,,39.49,35570.5,62.0,6.725033642166843,11.289794413577894
475,2007,5,31,2.0,2006.0,46,112.0,0,6514.0,-72.9408476,41.3554675,1941.0,1.0,3.0,1.0,920.0,101.0,2007.0,6.42,220.591,4.4,,,29520.5,66.0,6.825460036255307,12.221950915934196
476,2013,10,15,4.0,2013.0,37,244.0,0,6824.0,-73.2687032,41.1439949,1916.0,2.25,4.0,3.0,2340.0,32.0,2014.0,4.23,249.32,7.6,,23.93,37039.7,97.0,7.75833346749091,12.89859713225655
477,2019,4,1,2.0,2018.0,39,661.0,0,6033.0,-72.5658143,41.7055892,1957.0,1.0,3.0,2.0,1314.0,101.0,2019.0,4.06,269.07,3.1,15425.0,36.0,37215.4,62.0,7.181591944611865,12.54254845357358
478,2019,10,21,4.0,2019.0,46,1.0,0,6518.0,-72.9408893,41.4171696,1990.0,2.25,5.0,4.0,3651.0,30.0,2020.0,3.69,270.348,3.3,17057.0,,37215.4,29.0,8.20303024171486,12.73670383776449
479,2009,5,1,2.0,2008.0,46,41.0,0,6517.0,-72.9144257,41.3492278,1930.0,1.75,3.0,1.0,1510.0,94.0,2009.0,4.78,228.136,8.0,,,37588.0,79.0,7.32052696227274,12.278397958261774
480,2010,10,29,4.0,2010.0,12,201.0,0,6010.0,-72.8871956,41.6662536,1980.0,2.0,4.0,2.0,1536.0,30.0,2011.0,4.23,234.671,9.2,,,39119.8,30.0,7.337587743538596,11.755094871382958
